categories,frequence,reproduction,population
ancrage,3,1,0
hydrocarbures,1,3,2
autres,1,3,2
inconnus,1,3,2
dragage,2,2,2
depot,2,2,2
dragage_prevu,1,2,2
naufrage,1,0,0
CARGO,4,1,0
CONTAINER,4,1,0
DRY.BULK,4,1,0
GOVERNMENT.RESEARCH,3,1,0
Observation,3,1,0
PASSENGER.FERRY.RO.RO,4,1,0
PLEASURE.VESSELS,3,1,0
SPECIAL.SHIPS,3,1,0
TANKER,4,1,0
TUGS.PORT,3,1,0
navigation_portuaire,4,1,0
DD,3,3,1
DNL,3,3,1
DNH,3,3,1
PLB,3,3,1
PHB,3,3,1
peche_fleuve,3,3,1
pollution_maritime,3,2,2
